atomic_number,symbol,name,atomic_mass,period,group_number,category,phase_at_stp
1,H,Hydrogen,1.008,1,1,nonmetal,gas
2,He,Helium,4.0026,1,18,noble gas,gas
3,Li,Lithium,6.94,2,1,alkali metal,solid
4,Be,Beryllium,9.0122,2,2,alkaline earth metal,solid
5,B,Boron,10.81,2,13,metalloid,solid
6,C,Carbon,12.011,2,14,nonmetal,solid
7,N,Nitrogen,14.007,2,15,nonmetal,gas
8,O,Oxygen,15.999,2,16,nonmetal,gas
9,F,Fluorine,18.998,2,17,halogen,gas
10,Ne,Neon,20.18,2,18,noble gas,gas
11,Na,Sodium,22.99,3,1,alkali metal,solid
12,Mg,Magnesium,24.305,3,2,alkaline earth metal,solid
13,Al,Aluminium,26.982,3,13,post-transition metal,solid
14,Si,Silicon,28.085,3,14,metalloid,solid
15,P,Phosphorus,30.974,3,15,nonmetal,solid
16,S,Sulfur,32.06,3,16,nonmetal,solid
17,Cl,Chlorine,35.45,3,17,halogen,gas
18,Ar,Argon,39.95,3,18,noble gas,gas
19,K,Potassium,39.098,4,1,alkali metal,solid
20,Ca,Calcium,40.078,4,2,alkaline earth metal,solid
21,Sc,Scandium,44.956,4,3,transition metal,solid
22,Ti,Titanium,47.867,4,4,transition metal,solid
23,V,Vanadium,50.942,4,5,transition metal,solid
24,Cr,Chromium,51.996,4,6,transition metal,solid
25,Mn,Manganese,54.938,4,7,transition metal,solid
26,Fe,Iron,55.845,4,8,transition metal,solid
27,Co,Cobalt,58.933,4,9,transition metal,solid
28,Ni,Nickel,58.693,4,10,transition metal,solid
29,Cu,Copper,63.546,4,11,transition metal,solid
30,Zn,Zinc,65.38,4,12,transition metal,solid
31,Ga,Gallium,69.723,4,13,post-transition metal,solid
32,Ge,Germanium,72.63,4,14,metalloid,solid
33,As,Arsenic,74.922,4,15,metalloid,solid
34,Se,Selenium,78.971,4,16,nonmetal,solid
35,Br,Bromine,79.904,4,17,halogen,liquid
36,Kr,Krypton,83.798,4,18,noble gas,gas
37,Rb,Rubidium,85.468,5,1,alkali metal,solid
38,Sr,Strontium,87.62,5,2,alkaline earth metal,solid
39,Y,Yttrium,88.906,5,3,transition metal,solid
40,Zr,Zirconium,91.224,5,4,transition metal,solid
41,Nb,Niobium,92.906,5,5,transition metal,solid
42,Mo,Molybdenum,95.95,5,6,transition metal,solid
43,Tc,Technetium,98,5,7,transition metal,solid
44,Ru,Ruthenium,101.07,5,8,transition metal,solid
45,Rh,Rhodium,102.91,5,9,transition metal,solid
46,Pd,Palladium,106.42,5,10,transition metal,solid
47,Ag,Silver,107.87,5,11,transition metal,solid
48,Cd,Cadmium,112.41,5,12,transition metal,solid
49,In,Indium,114.82,5,13,post-transition metal,solid
50,Sn,Tin,118.71,5,14,post-transition metal,solid
51,Sb,Antimony,121.76,5,15,metalloid,solid
52,Te,Tellurium,127.6,5,16,metalloid,solid
53,I,Iodine,126.9,5,17,halogen,solid
54,Xe,Xenon,131.29,5,18,noble gas,gas
55,Cs,Caesium,132.91,6,1,alkali metal,solid
56,Ba,Barium,137.33,6,2,alkaline earth metal,solid
57,La,Lanthanum,138.91,6,3,lanthanide,solid
58,Ce,Cerium,140.12,6,3,lanthanide,solid
59,Pr,Praseodymium,140.91,6,3,lanthanide,solid
